id,priors_count,is_recid,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
1.0,0,0,False,True,False,True,False,False,False,False,False,False,True
2.0,0,0,False,True,False,True,False,False,False,False,False,False,True
4.0,0,1,False,True,True,False,False,True,False,False,False,False,False
5.0,4,1,False,True,False,False,True,True,False,False,False,False,False
6.0,4,1,False,True,False,False,True,True,False,False,False,False,False
7.0,4,1,False,True,False,False,True,True,False,False,False,False,False
8.0,4,1,False,True,False,False,True,True,False,False,False,False,False
9.0,4,1,False,True,False,False,True,True,False,False,False,False,False
10.0,1,0,False,True,False,False,True,True,False,False,False,False,False
11.0,2,0,False,True,True,False,False,False,False,False,False,False,True
12.0,0,0,False,True,True,False,False,False,False,False,False,False,True
13.0,14,1,False,True,True,False,False,False,False,True,False,False,False
14.0,14,1,False,True,True,False,False,False,False,True,False,False,False
15.0,3,0,False,True,True,False,False,False,False,False,False,False,True
16.0,3,0,False,True,True,False,False,False,False,False,False,False,True
17.0,3,0,False,True,True,False,False,False,False,False,False,False,True
18.0,0,0,True,False,True,False,False,False,False,True,False,False,False
19.0,0,0,False,True,False,False,True,False,False,True,False,False,False
20.0,0,0,False,True,False,False,True,False,False,True,False,False,False
21.0,0,0,False,True,False,False,True,False,False,True,False,False,False
22.0,0,0,True,False,True,False,False,False,False,True,False,False,False
23.0,0,0,True,False,True,False,False,False,False,True,False,False,False
24.0,0,0,True,False,True,False,False,False,False,True,False,False,False
25.0,1,1,False,True,False,False,True,False,False,True,False,False,False
26.0,0,0,False,True,True,False,False,False,False,True,False,False,False
27.0,3,1,False,True,False,False,True,True,False,False,False,False,False
28.0,0,0,True,False,True,False,False,False,False,True,False,False,False
29.0,0,0,False,True,False,False,True,False,False,True,False,False,False
30.0,0,0,False,True,True,False,False,True,False,False,False,False,False
31.0,1,1,True,False,False,True,False,False,False,True,False,False,False
32.0,1,1,True,False,False,True,False,False,False,True,False,False,False
33.0,7,1,False,True,True,False,False,True,False,False,False,False,False
34.0,7,1,False,True,True,False,False,True,False,False,False,False,False
35.0,0,0,False,True,True,False,False,False,False,False,True,False,False
36.0,3,0,False,True,True,False,False,True,False,False,False,False,False
37.0,3,0,False,True,True,False,False,True,False,False,False,False,False
38.0,6,1,False,True,True,False,False,False,False,True,False,False,False
39.0,5,1,False,True,True,False,False,False,False,True,False,False,False
40.0,5,1,False,True,True,False,False,False,False,True,False,False,False
41.0,5,1,False,True,True,False,False,False,False,True,False,False,False
42.0,13,1,False,True,False,True,False,True,False,False,False,False,False
43.0,13,1,False,True,False,True,False,True,False,False,False,False,False
44.0,13,1,False,True,False,True,False,True,False,False,False,False,False
45.0,1,1,False,True,False,False,True,True,False,False,False,False,False
46.0,1,1,False,True,False,False,True,True,False,False,False,False,False
47.0,1,1,False,True,False,False,True,True,False,False,False,False,False
48.0,1,1,False,True,False,False,True,True,False,False,False,False,False
49.0,1,1,False,True,False,False,True,True,False,False,False,False,False
50.0,1,1,False,True,False,False,True,True,False,False,False,False,False
51.0,0,1,False,True,True,False,False,False,False,True,False,False,False
52.0,0,0,True,False,False,False,True,False,False,True,False,False,False
53.0,2,1,False,True,False,False,True,True,False,False,False,False,False
54.0,2,1,False,True,False,False,True,True,False,False,False,False,False
55.0,2,1,False,True,False,False,True,True,False,False,False,False,False
56.0,2,1,False,True,False,False,True,True,False,False,False,False,False
57.0,2,1,False,True,False,False,True,True,False,False,False,False,False
58.0,1,1,False,True,False,False,True,False,False,False,True,False,False
59.0,1,0,False,True,True,False,False,False,False,True,False,False,False
60.0,1,0,False,True,True,False,False,False,False,True,False,False,False
61.0,0,0,False,True,True,False,False,False,False,False,False,False,True
62.0,0,0,True,False,False,True,False,True,False,False,False,False,False
